Date,PRICE_BEEF,PRICE_PORK,PRICE_POULTRY,PRICE_CORN,PRICE_WHEAT
1-Jan-80,136.36,72.419,33.9,105.507,175.635
1-Feb-80,134.55,65.528,32.554,114.168,172.695
1-Mar-80,118,65.002,31.827,109.837,163.509
1-Apr-80,114.51,51.859,30.99,108.263,156.528
1-May-80,110.5,54.901,30.663,109.837,161.305
1-Jun-80,113.89,62.467,31.281,113.38,157.63
1-Jul-80,124.96,84.679,34.337,130.702,168.653
1-Aug-80,132.51,102.723,36.41,143.3,171.225
1-Sep-80,129.15,101.183,37.974,140.938,179.677
1-Oct-80,129.83,108.956,38.447,140.545,188.128
1-Nov-80,133.25,112.693,37.028,146.843,195.109
1-Dec-80,124.77,102.329,36.701,145.269,182.616
1-Jan-81,121.73,92.772,35.901,151.961,189.597
1-Feb-81,116.75,93.335,36.701,143.3,181.514
1-Mar-81,113.3,76.681,36.01,142.119,175.267
1-Apr-81,114.8,92.34,35.137,144.481,180.411
1-May-81,112.95,85.205,33.755,140.938,171.593
1-Jun-81,110.48,105.258,34.373,136.214,168.653
1-Jul-81,109.5,102.366,36.701,137.789,167.919
1-Aug-81,109.5,110.383,35.719,127.159,170.123
1-Sep-81,111.5,113.594,34.992,115.743,171.225
1-Oct-81,110.38,105.295,34.41,111.412,168.653
1-Nov-81,107.53,105.351,33.864,110.625,178.574
1-Dec-81,107.04,95.832,33.718,105.507,176.002
1-Jan-82,108,117.349,34.264,113.38,173.063
1-Feb-82,108,126.944,34.81,112.593,170.858
1-Mar-82,108,124.897,34.591,114.168,168.653
1-Apr-82,109,139.411,34.446,116.136,169.756
1-May-82,109.5,151.54,34.919,116.53,167.551
1-Jun-82,108,143.504,35.319,114.955,155.793
1-Jul-82,101,158.281,35.683,111.412,151.751
1-Aug-82,101.7,178.239,34.373,101.176,152.486
1-Sep-82,110,172.531,34.555,97.633,152.854
1-Oct-82,112.5,141.551,34.155,90.941,146.607
1-Nov-82,112.5,135.524,33.573,102.751,155.058
1-Dec-82,112.5,138.566,32.882,105.507,159.835
1-Jan-83,103.6,151.54,33.136,108.263,164.979
1-Feb-83,108,137.571,33.791,117.317,164.244
1-Mar-83,113.1,122.982,33.828,125.191,166.081
1-Apr-83,115.4,122.625,32.736,133.458,167.184
1-May-83,115.1,113.632,33.282,133.852,160.202
1-Jun-83,111.9,114.364,34.082,135.033,151.751
1-Jul-83,111.5,111.754,35.246,140.545,147.342
1-Aug-83,112.5,124.822,35.864,152.749,152.486
1-Sep-83,111.83,105.408,37.174,147.631,156.528
1-Oct-83,111.22,92.753,35.319,148.025,152.854
1-Nov-83,109.17,96.846,36.81,146.843,151.751
1-Dec-83,104.74,101.559,38.92,142.907,153.589
1-Jan-84,102.6,120.335,40.557,142.119,152.854
1-Feb-84,106.1,103.004,41.83,137.001,150.649
1-Mar-84,108,104.375,41.248,146.056,153.956
1-Apr-84,112,112.111,40.993,148.025,157.263
1-May-84,108.64,107.492,39.575,146.056,153.956
1-Jun-84,105.83,127.207,39.684,146.843,149.914
1-Jul-84,101.32,120.128,40.448,142.513,146.975
1-Aug-84,102.26,116.486,38.774,138.576,152.486
1-Sep-84,99.09,112.599,39.065,130.309,155.058
1-Oct-84,95.48,99.531,37.938,121.254,152.854
1-Nov-84,95.32,112.505,38.192,117.317,152.486
1-Dec-84,100.67,121.724,37.319,113.774,149.547
1-Jan-85,102.93,126.531,38.011,119.679,149.179
1-Feb-85,105,121.762,38.411,119.679,147.342
1-Mar-85,102.07,120.842,38.265,120.467,145.137
1-Apr-85,96.68,110.552,38.12,120.073,143.668
1-May-85,94.88,108.581,37.101,116.924,136.319
1-Jun-85,94.98,131.844,37.901,116.136,134.114
1-Jul-85,93.05,119.753,37.574,114.955,128.603
1-Aug-85,93.72,105.877,37.756,105.507,123.091
1-Sep-85,93.72,97.728,38.011,101.964,125.296
1-Oct-85,97,98.479,37.319,97.633,127.501
1-Nov-85,97,97.672,38.411,106.294,132.645
1-Dec-85,101,109.351,39.247,108.656,137.054
1-Jan-86,99,115.059,38.192,107.082,132.277
1-Feb-86,98,96.808,38.411,104.326,129.705
1-Mar-86,99.4,95.175,38.556,100.783,134.482
1-Apr-86,93.62,91.345,37.792,101.57,132.645
1-May-86,93.68,116.241,38.593,105.507,119.417
1-Jun-86,91.54,136.707,39.938,104.719,105.822
1-Jul-86,87.44,170.241,44.34,83.461,101.78
1-Aug-86,90.64,168.007,48.122,75.193,102.147
1-Sep-86,94.88,139.073,45.649,66.139,103.617
1-Oct-86,95.6,114.082,45.431,65.351,104.719
1-Nov-86,97,118.476,44.74,69.288,105.087
1-Dec-86,99,121.367,44.012,70.075,107.292
1-Jan-87,99,124.39,43.467,68.107,109.129
1-Feb-87,103.29,108.712,43.176,66.926,112.068
1-Mar-87,105.56,113.444,41.903,71.65,115.375
1-Apr-87,108.68,123.245,41.139,74.406,113.17
1-May-87,109,125.179,41.066,80.705,119.049
1-Jun-87,105.1,146.245,40.593,80.311,108.761
1-Jul-87,105.76,156.722,39.975,76.374,104.719
1-Aug-87,104,149.756,41.43,71.256,106.924
1-Sep-87,113.7,111.191,41.684,72.831,112.068
1-Oct-87,114,94.217,41.102,78.736,113.905
1-Nov-87,116.04,87.045,39.72,81.886,115.008
1-Dec-87,113.97,79.797,39.174,83.067,124.561
1-Jan-88,113,96.245,39.247,86.61,128.603
1-Feb-88,118.57,91.251,39.829,87.397,131.542
1-Mar-88,117.5,85.712,40.12,90.547,124.928
1-Apr-88,113,81.882,40.593,89.76,126.766
1-May-88,110,87.777,42.703,90.153,128.97
1-Jun-88,109.9,84.529,45.794,120.073,149.914
1-Jul-88,110.8,75.573,49.977,126.766,149.547
1-Aug-88,113.9,70.935,50.96,118.892,149.914
1-Sep-88,113.9,62.805,51.651,121.254,159.468
1-Oct-88,116.5,65.058,49.468,121.254,162.04
1-Nov-88,116.5,62.862,47.904,113.38,163.877
1-Dec-88,116.5,65.866,47.65,117.317,166.816
1-Jan-89,110.51,68.119,48.632,118.498,173.798
1-Feb-89,112.906,58.618,48.45,117.581,172.057
1-Mar-89,110.66,57.06,49.323,118.892,178.207
1-Apr-89,110.94,47.691,50.196,115.349,174.532
1-May-89,110.22,54.938,51.978,117.317,176.37
1-Jun-89,110.48,58.205,52.633,113.38,168.653
1-Jul-89,113.07,57.079,51.542,107.475,166.816
1-Aug-89,115.58,53.643,51.214,101.176,164.244
1-Sep-89,120.09,64.983,50.596,103.145,163.509
1-Oct-89,124.5,70.372,49.068,106.294,164.612
1-Nov-89,128.1,96.264,47.431,108.656,163.509
1-Dec-89,130.5,80.192,47.431,108.656,164.612
1-Jan-90,126.31,93.147,47.831,105.901,167.919
1-Feb-90,111.46,80.004,48.595,106.294,160.937
1-Mar-90,112.67,79.91,50.341,109.837,156.528
1-Apr-90,112.13,99.644,49.068,118.498,159.468
1-May-90,112.49,115.678,49.032,121.254,149.179
1-Jun-90,113.58,121.461,50.268,120.073,135.584
1-Jul-90,116.07,96.189,50.05,114.955,124.928
1-Aug-90,120.39,93.973,49.723,109.837,116.845
1-Sep-90,122.33,95.682,49.577,102.357,114.273
1-Oct-90,117.26,113.632,48.668,99.995,114.64
1-Nov-90,114.95,110.74,48.341,99.995,112.803
1-Dec-90,115.56,106.497,47.504,102.357,113.17
1-Jan-91,117.62,120.184,47.686,105.507,111.333
1-Feb-91,123.96,106.666,48.777,106.294,113.905
1-Mar-91,117.56,109.876,48.523,109.05,119.417
1-Apr-91,118.44,107.661,47.904,110.231,120.887
1-May-91,119.112,106.929,48.304,105.735,122.037
1-Jun-91,122.64,104.807,47.504,105.113,120.152
1-Jul-91,121.87,92.265,48.595,105.73,118.21
1-Aug-91,119.81,77.788,47.504,110.119,125.327
1-Sep-91,124.5,73.207,47.504,108.853,135.373
1-Oct-91,123.4,59.989,48.159,109.523,146.887
1-Nov-91,122.833,55.727,47.14,106.798,149.537
1-Dec-91,118.267,52.892,47.249,106.721,160.837
1-Jan-92,116.639,51.765,47.795,109.586,169.955
1-Feb-92,114.485,54.732,46.522,113.921,177.131
1-Mar-92,111.113,52.385,47.14,116.685,169.351
1-Apr-92,108.171,50.263,47.031,109.055,159.931
1-May-92,107.764,64.157,47.068,109.178,149.689
1-Jun-92,105.9,60.984,47.54,110.202,148.666
1-Jul-92,106.431,61.04,48.304,102.394,136.319
1-Aug-92,110.921,65.622,48.85,97.54,128.168
1-Sep-92,110.692,53.849,48.886,98.217,138.736
1-Oct-92,113.386,53.755,47.904,94.56,140.581
1-Nov-92,115.237,56.065,49.286,95.173,147.574
1-Dec-92,115.287,53.173,49.25,94.043,147.828
1-Jan-93,106.803,59.144,50.476,94.095,155.651
1-Feb-93,108.324,62.983,51.05,94.254,148.884
1-Mar-93,114.591,65.596,52.185,97.535,147.9
1-Apr-93,117.575,63.726,53.511,100.487,141.992
1-May-93,121.395,66.597,56.325,99.223,136.581
1-Jun-93,124.488,68.306,55.932,92.726,121.818
1-Jul-93,127.94,65.461,56.705,101.889,127.522
1-Aug-93,127.167,68.43,57.932,100.313,129.797
1-Sep-93,124.012,68.978,57.58,101.032,131.294
1-Oct-93,121.063,66.787,55.667,105.768,135.956
1-Nov-93,119.842,60.684,55.08,115.928,146.502
1-Dec-93,111.661,57.527,53.674,121.229,158.645
1-Jan-94,109.842,62.401,52.798,126.716,153.208
1-Feb-94,113.111,67.837,53.625,123.649,147.038
1-Mar-94,122.031,62.63,55.446,120.107,141.044
1-Apr-94,119.191,59.977,56,113.417,140.453
1-May-94,108.444,60.57,58.943,110.601,140.147
1-Jun-94,101.262,61.275,59.352,112.083,139.304
1-Jul-94,99.387,60.593,57.976,98.732,137.6
1-Aug-94,99.784,60.124,55.891,96.157,146.024
1-Sep-94,100.155,50.405,56.125,97.605,158.785
1-Oct-94,96.381,45.407,54.333,96.11,167.188
1-Nov-94,99.275,40.257,51.67,95.606,161.987
1-Dec-94,100.95,45.428,51.25,102.555,164.622
1-Jan-95,97.762,53.419,51.25,106.899,156.213
1-Feb-95,98.474,55.681,51.438,106.978,154.42
1-Mar-95,93.77,54.053,51.848,109.627,150.386
1-Apr-95,88.447,51.05,51.375,109.64,148.979
1-May-95,82.023,48.047,52.326,111.928,158.612
1-Jun-95,79.898,55.554,54.114,120.007,169.981
1-Jul-95,76.613,66.064,56.405,127.31,190.085
1-Aug-95,78.533,78.076,59.467,126.297,184.393
1-Sep-95,81.5,75.702,60.631,130.513,193.671
1-Oct-95,84.58,78.505,58.716,140.816,203.792
1-Nov-95,88.989,65.888,59.648,143.212,204.067
1-Dec-95,87.434,71.496,58.571,148.189,208.925
1-Jan-96,86.262,72.898,58.446,156.671,196.428
1-Feb-96,83.053,78.505,56.833,164.712,206.167
1-Mar-96,79.319,89.72,55.119,170.961,205.257
1-Apr-96,81.5,99.534,56.023,189.033,239.516
1-May-96,81.313,112.151,60.315,203.999,248.595
1-Jun-96,77,102.337,64.638,196.639,215.226
1-Jul-96,77.682,124.768,66.261,197.62,196.387
1-Aug-96,80.227,124.768,66.705,186.82,181.497
1-Sep-96,78.675,76.297,66.702,145.239,170.981
